Gene	Relative Activity	Number of cells with sgRNA
ALDOA	-0.041	142
ALDOA	0.425	69
ALDOA	0.874	91
ALDOA	0.961	132
ALDOA	1.000	94
ATP5E	0.070	104
ATP5E	0.554	139
ATP5E	0.914	138
ATP5E	1.000	177
ATP5E	1.185	149
BCR	0.259	83
BCR	0.275	117
BCR	0.420	217
BCR	0.878	84
BCR	1.000	121
BCR	1.033	107
CAD	0.241	215
CAD	0.515	112
CAD	0.781	200
CAD	0.997	99
CAD	1.000	117
CDC23	0.233	264
CDC23	0.756	127
CDC23	0.813	129
CDC23	0.924	72
CDC23	1.000	101
COX11	0.305	121
COX11	0.687	83
COX11	0.823	133
COX11	0.946	255
COX11	1.000	172
DBR1	0.077	109
DBR1	0.681	152
DBR1	1.000	313
DBR1	1.124	159
DBR1	1.134	189
DUT	0.487	124
DUT	0.908	59
DUT	0.974	277
DUT	0.999	371
DUT	1.000	210
EIF2S1	0.092	130
EIF2S1	0.494	104
EIF2S1	0.739	73
EIF2S1	0.806	117
EIF2S1	1.000	93
GATA1	0.113	88
GATA1	0.527	112
GATA1	0.793	55
GATA1	0.967	34
GATA1	1.000	39
GATA1	1.024	104
GINS1	0.354	118
GINS1	0.747	149
GINS1	0.980	176
GINS1	1.000	40
GINS1	1.039	268
GNB2L1	0.495	98
GNB2L1	0.721	113
GNB2L1	1.000	28
GNB2L1	1.052	509
GNB2L1	1.307	123
HSPA5	0.159	204
HSPA5	0.852	96
HSPA5	1.000	75
HSPA5	1.009	120
HSPA5	1.012	143
HSPA9	0.211	143
HSPA9	0.377	68
HSPA9	0.685	67
HSPA9	0.854	92
HSPA9	1.000	81
HSPE1	0.298	119
HSPE1	0.622	177
HSPE1	0.878	218
HSPE1	0.916	157
HSPE1	1.000	169
MTOR	0.444	125
MTOR	0.572	85
MTOR	0.628	118
MTOR	0.858	132
MTOR	1.000	343
POLR1D	0.398	355
POLR1D	0.914	219
POLR1D	1.000	173
POLR1D	1.065	283
POLR1D	1.116	136
POLR2H	0.165	83
POLR2H	0.306	90
POLR2H	0.453	83
POLR2H	0.867	68
POLR2H	1.000	78
RAN	0.236	169
RAN	0.435	136
RAN	1.000	100
RAN	1.095	110
RAN	1.173	233
RPL9	0.263	159
RPL9	0.375	93
RPL9	0.546	96
RPL9	0.766	71
RPL9	1.000	116
RPS14	-0.035	103
RPS14	0.268	127
RPS14	0.382	176
RPS14	0.739	174
RPS14	0.955	57
RPS14	1.000	175
RPS15	-0.011	197
RPS15	-0.050	105
RPS15	0.792	68
RPS15	0.840	112
RPS15	1.000	96
RPS18	0.106	104
RPS18	0.273	177
RPS18	0.600	77
RPS18	0.685	82
RPS18	1.000	92
SEC61A1	0.167	113
SEC61A1	0.456	98
SEC61A1	0.547	123
SEC61A1	0.701	197
SEC61A1	1.000	195
TUBB	0.221	136
TUBB	0.772	73
TUBB	0.815	85
TUBB	1.000	166
TUBB	1.032	88
negative control	N/A	2110
