	T0	T0	Day4	Day4	Day6	Day6	Day8	Day8
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
CAD_+_27440253.23-P1P2_cr001	1901	2747	1273	2163	796	1472	433	873
CAD_+_27440253.23-P1P2_cr002	2503	3879	3859	6117	4149	5778	3404	4129
CAD_+_27440253.23-P1P2_cr003	2660	4095	5173	7939	5569	6785	5212	5918
CAD_+_27440253.23-P1P2_cr004	2647	3880	5128	6756	5543	6408	4911	5202
CAD_+_27440253.23-P1P2_cr005	2522	3646	3113	4519	2331	3711	1995	2592
CAD_+_27440253.23-P1P2_cr006	2466	3609	4305	6688	4821	6418	4495	5489
CAD_+_27440253.23-P1P2_cr007	2836	4421	4779	7495	5191	7398	4661	5623
CAD_+_27440253.23-P1P2_cr008	2613	3520	2340	3017	1574	2224	1225	1113
CAD_+_27440253.23-P1P2_cr009	2726	3519	4880	6315	5144	5868	4764	4316
CAD_+_27440253.23-P1P2_cr010	2992	4249	4940	7289	4926	6456	4765	5346
CAD_+_27440253.23-P1P2_cr011	2109	3157	3630	5756	4096	4899	3798	4218
CAD_+_27440253.23-P1P2_cr012	2881	4533	4972	7914	5420	7443	5422	6198
CAD_+_27440253.23-P1P2_cr013	1774	2459	674	1104	366	414	199	162
CAD_+_27440253.23-P1P2_cr014	2287	3049	3972	5351	4252	4745	3804	3970
CAD_+_27440253.23-P1P2_cr015	1057	1572	466	758	190	426	97	191
CAD_+_27440253.23-P1P2_cr016	1511	2283	1209	2129	838	1233	541	738
CAD_+_27440253.23-P1P2_cr017	1840	2454	835	1109	380	550	179	242
CAD_+_27440253.23-P1P2_cr018	2382	3826	834	1199	453	464	154	168
CAD_+_27440253.23-P1P2_cr019	1573	2125	618	801	250	394	123	65
CAD_+_27440253.23-P1P2_cr020	2331	3210	1058	1182	379	494	172	111
CAD_+_27440253.23-P1P2_cr021	630	924	333	448	107	132	85	64
CAD_+_27440253.23-P1P2_cr022	848	1348	339	472	239	241	76	71
CAD_+_27440253.23-P1P2_cr023	1668	2145	629	884	304	345	156	114
CAD_+_27440253.23-P1P2_cr024	2836	3618	4401	6982	4627	6545	4476	5173
CAD_+_27440253.23-P1P2_cr025	3768	5404	6706	9483	7240	8622	6799	7001
CAD_+_27440253.23-P1P2_cr026	2282	3454	1164	1797	685	828	332	554
CAD_+_27440253.23-P1P2_cr027	4035	5589	5885	8868	5617	7952	5071	5856
CAD_+_27440253.23-P1P2_cr028	2409	3899	4699	7268	5102	7141	4793	5086
CAD_+_27440253.23-P1P2_cr029	2575	3404	4108	6482	4394	6483	4197	5389
CAD_+_27440253.23-P1P2_cr030	2396	3233	4775	5983	4832	5655	4379	4606
CAD_+_27440253.23-P1P2_cr031	2673	3917	4532	7290	4691	6457	4326	5217
CAD_+_27440253.23-P1P2_cr032	3022	4179	4824	7411	5451	7684	4838	5527
CAD_+_27440253.23-P1P2_cr033	3523	5084	6267	8995	6688	8403	6162	6899
CAD_+_27440253.23-P1P2_cr034	2917	3927	4906	7321	5281	6623	4757	5333
CAD_+_27440253.23-P1P2_cr035	2330	3229	3967	6413	4366	5168	3810	4189
CAD_+_27440253.23-P1P2_cr036	2811	3922	4533	7563	5003	6828	4504	5404
CAD_+_27440253.23-P1P2_cr037	1659	2381	564	913	249	338	189	162
